Reference,Qty,Value,Footprint,Datasheet,Source,Cost,Notes
A1,1,Arduino_Nano_ESP32,Module:Arduino_Nano,https://docs.arduino.cc/resources/datasheets/ABX00083-datasheet.pdf , https://store-usa.arduino.cc/products/nano-esp32,18.3,"I’m considering swapping to just a nano, because I originally intended to use the wifi feature, but I’m kind of running out of time for my submission (maybe I’ll come back to it)"
BT1,1,Battery Holder,Battery:BatteryHolder_Keystone_2462_2xAA,~,https://www.alibaba.com/product-detail/Plastic-2AA-Battery-Holder-with-Wire_1600830646099.html?spm=a2700.prosearch.normal_offer.d_title.341867afLGDKYC&priceId=5c349d264a2b4d398c701cf3d1b2dcc9 ,0.114,"I think a minimum of five pieces are needed when ordering? But it doesn’t matter, because I have one and wouldn’t be making a purchase"
BZ1,1,Buzzer,Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,https://cdn-shop.adafruit.com/product-files/160/160_ds.pdf,https://www.adafruit.com/product/160 ,1.5,"I already have one, so I wouldn’t need to purchase another"
C2,1,220μF,Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm,https://cdn-shop.adafruit.com/product-files/2192/capacitor%2Bdatasheet.pdf ,https://www.adafruit.com/product/2192 ,2.95,"Listed price is for 10, but it’s included with the OLED display, so there’s no need to buy it separately"
DS1,1,~,Library:OLED_Graphic_Display_Kit_Adafruit,https://cdn-shop.adafruit.com/datasheets/SSD1305.pdf ,https://www.adafruit.com/product/2675 ,39.95,
SW1,1,SW_Push,Button_Switch_THT:SW_PUSH-12mm,~,https://www.sparkfun.com/momentary-pushbutton-switch-12mm-square.html ,0.75,"I already have one, so I wouldn’t need to purchase another"
~,2,AA Battery,~,,https://www.canadiantire.ca/en/pdp/duracell-coppertop-aa-batteries-alkaline-20-pk-0650868p.html ,23.99,"Price is for a pack of twenty, but I already have AA batteries lying around, so I’m just going to use those"
~,2,M2 4mm long bolt,~,,https://www.amazon.ca/780Pcs-Screws-Metric-Washers-Steel-Black/dp/B0D7QCS5FL?dib=eyJ2IjoiMSJ9.2AvYXaYodlNBRyF63Syek4ni6O8JJQbQAt9EDt-s4Zi9UvXhlMXd0h2agyA53SCXa5uwsbxa2j2azTENph258874c_GnKsFeJxd5pQOZ6hAYjXN1SZ4RKn4SOXATJLnGStrqjop1SIv6tPLhYIiRVmQOyAEpwXTsN0bbJYC3phhPI5tP8Xz1tI_PL3V7-gp-TYnL4P0fq0Y6w-s9b7fOgY1Dr7c-_Kk4CoL7ucDFvn7yJGEQBan5Ijxvosp3mNI28XpjrdCeZukk-M53jtoKU8Kcpm_3hBxW4jQNMSRAnv8.30jTVaokGWzpVTH-uqjNhhXQyKsUrRbJQxHtAXK25Kc&dib_tag=se&keywords=m2%2Bbolt&qid=1781830547&sr=8-5&th=1 ,15.99,"I’m only writing this note once, but all the bolt sizes can be gotten from this pack, so this pack only needs to be bought once  (using 12mm long instead of 14mm, maybe, but that’s a perfectly fine exchange)"
~,4,M2 6mm long bolt,~,,https://www.amazon.ca/780Pcs-Screws-Metric-Washers-Steel-Black/dp/B0D7QCS5FL?dib=eyJ2IjoiMSJ9.2AvYXaYodlNBRyF63Syek4ni6O8JJQbQAt9EDt-s4Zi9UvXhlMXd0h2agyA53SCXa5uwsbxa2j2azTENph258874c_GnKsFeJxd5pQOZ6hAYjXN1SZ4RKn4SOXATJLnGStrqjop1SIv6tPLhYIiRVmQOyAEpwXTsN0bbJYC3phhPI5tP8Xz1tI_PL3V7-gp-TYnL4P0fq0Y6w-s9b7fOgY1Dr7c-_Kk4CoL7ucDFvn7yJGEQBan5Ijxvosp3mNI28XpjrdCeZukk-M53jtoKU8Kcpm_3hBxW4jQNMSRAnv8.30jTVaokGWzpVTH-uqjNhhXQyKsUrRbJQxHtAXK25Kc&dib_tag=se&keywords=m2%2Bbolt&qid=1781830547&sr=8-5&th=1 ,15.99,
~,4,M2 14mm long bolt,~,,https://www.amazon.ca/780Pcs-Screws-Metric-Washers-Steel-Black/dp/B0D7QCS5FL?dib=eyJ2IjoiMSJ9.2AvYXaYodlNBRyF63Syek4ni6O8JJQbQAt9EDt-s4Zi9UvXhlMXd0h2agyA53SCXa5uwsbxa2j2azTENph258874c_GnKsFeJxd5pQOZ6hAYjXN1SZ4RKn4SOXATJLnGStrqjop1SIv6tPLhYIiRVmQOyAEpwXTsN0bbJYC3phhPI5tP8Xz1tI_PL3V7-gp-TYnL4P0fq0Y6w-s9b7fOgY1Dr7c-_Kk4CoL7ucDFvn7yJGEQBan5Ijxvosp3mNI28XpjrdCeZukk-M53jtoKU8Kcpm_3hBxW4jQNMSRAnv8.30jTVaokGWzpVTH-uqjNhhXQyKsUrRbJQxHtAXK25Kc&dib_tag=se&keywords=m2%2Bbolt&qid=1781830547&sr=8-5&th=1 ,15.99,
,,,,,,,
~,,Various 3D prints,~,,TOTAL,74.24,"(This is the total I would need to spend, I have noted which items I would not be purchasing)"
